Medical Query,Base Model Response,Guard-railed Model Response,Ground Truth
What are the symptoms of dengue?,"Severe headache, muscular and bone pain, high fever","Severe headache, muscle and joint pain, high fever (103°F or 39.4°C or higher)","Severe headache, muscle and joint pain, high fever (103°F or 39.4°C or higher)"
How is COVID-19 spread?,"Through respiratory droplets, contact with surfaces","Through respiratory droplets, surface contact, direct contact","Through respiratory droplets, surface contact, direct contact"
What is hypertension?,High blood pressure,"High blood pressure, dizziness, blurry vision","High blood pressure, dizziness, blurry vision"
What is diabetes?,"High blood sugar, frequent urination","Chronic high blood sugar, frequent urination, excessive thirst","Chronic high blood sugar, frequent urination, excessive thirst"
What are the causes of malaria?,Mosquito bites,Mosquitoes carrying Plasmodium parasites,Mosquitoes carrying Plasmodium parasites
What are the symptoms of a heart attack?,"Pain in chest, shortness of breath","Severe chest pain, difficulty breathing, nausea","Severe chest pain, difficulty breathing, nausea"
What is asthma?,"Difficulty breathing, wheezing","Breathing difficulties, wheezing, tightness in chest","Breathing difficulties, wheezing, tightness in chest"
What is Alzheimer's disease?,"Memory loss, confusion","Gradual memory loss, confusion, difficulty recognizing people","Gradual memory loss, confusion, difficulty recognizing people"
What are the treatments for cancer?,"Chemotherapy, surgery, radiation","Treatment includes chemotherapy, surgery, radiation therapy","Treatment includes chemotherapy, surgery, radiation therapy"
What is the normal body temperature?,98.6°F or 37°C,"98.6°F or 37°C is average, but varies based on individual factors","98.6°F or 37°C is average, but varies based on individual factors"
What are the symptoms of the flu?,"Cough, fever, chills","Fever, muscle aches, cough, congestion","Fever, muscle aches, cough, congestion"
What are the causes of obesity?,"Poor diet, lack of exercise","Overeating, lack of physical activity, genetic factors","Overeating, lack of physical activity, genetic factors"
What is depression?,"Feeling sad, hopeless","Feeling persistently sad, loss of interest in activities","Feeling persistently sad, loss of interest in activities"
What is a stroke?,"Weakness, numbness on one side","Sudden numbness or weakness, trouble speaking","Sudden numbness or weakness, trouble speaking"
What is the treatment for pneumonia?,"Antibiotics, oxygen therapy","Treatment options include antibiotics, corticosteroids, oxygen therapy","Treatment options include antibiotics, corticosteroids, oxygen therapy"
What are the symptoms of tuberculosis?,"Persistent cough, weight loss","Coughing up blood, night sweats, unexplained weight loss","Coughing up blood, night sweats, unexplained weight loss"
What are the causes of kidney failure?,"Swelling in legs, fatigue","Fatigue, leg swelling, loss of appetite","Fatigue, leg swelling, loss of appetite"
